date,open,high,low,close,volume,unadjusted,putthrough
2018-04-02,42.3562,43.5167,41.5342,43.5167,2610170,45.0000,0
2018-04-03,43.8068,44.2903,43.2266,43.6134,1340170,45.1000,0
2018-04-04,43.6134,43.9519,43.3233,43.3233,1511210,44.8000,2815260
2018-04-05,43.3233,43.3233,42.3079,42.5497,1744010,44.0000,0
2018-04-06,42.7431,43.2266,42.3563,42.5497,1469830,44.0000,0
2018-04-09,42.8398,43.5167,41.9695,42.9365,2724810,44.4000,0
2018-04-10,43.4200,44.8706,43.3233,44.0002,4181500,45.5000,0
2018-04-11,45.2573,45.2573,42.5496,43.0332,2384910,44.5000,4080700
2018-04-12,42.8398,43.5167,42.1629,42.9365,1816480,44.4000,0
2018-04-13,43.0332,43.3233,40.3255,40.6156,3369270,42.0000,0
2018-04-16,39.6486,40.6156,38.6815,38.6815,2207540,40.0000,0
2018-04-17,38.6815,40.5189,38.3914,40.5189,2516280,41.9000,0
2018-04-18,41.2925,41.2925,38.8749,38.8749,1196420,40.2000,0
2018-04-19,38.8749,39.0683,36.5540,36.7474,2755020,38.0000,0
2018-04-20,37.2309,38.2463,35.7804,38.1496,2415490,39.4500,0
2018-04-23,38.4881,39.3100,35.4902,35.4903,3210890,36.7000,0
2018-04-24,35.7804,37.2310,34.7167,36.7474,2503080,38.0000,0
2018-04-26,36.5540,37.2309,34.3298,35.2969,2207270,36.5000,29000
2018-04-27,35.2002,36.8442,34.8134,34.9101,2026830,36.1000,0
2018-05-02,35.4903,35.6837,32.4925,32.4925,1868640,33.6000,77500
2018-05-03,31.1386,33.7497,30.2200,32.5892,4169480,33.7000,800000
2018-05-04,32.9760,33.3628,31.4288,31.4287,1599340,32.5000,0
2018-05-07,31.8639,33.6045,30.6551,33.6046,3558490,34.7500,0
2018-05-08,33.6046,35.7321,33.2661,34.3298,3013460,35.5000,0
2018-05-09,33.8463,35.0551,33.3628,33.8463,1843140,35.0000,400000
2018-05-10,33.2661,34.4265,31.4771,31.6221,2834040,32.7000,0
2018-05-11,31.6221,33.0727,30.4617,32.8793,2116330,34.0000,0
2018-05-14,33.4595,33.5562,32.5892,33.1694,918220,34.3000,0
2018-05-15,33.1694,33.8463,32.8793,33.4595,2221560,34.6000,0
2018-05-16,32.9760,33.1694,32.0573,32.1057,1856760,33.2000,0
2018-05-17,32.1057,32.3958,31.6222,31.9123,1502680,33.0000,0
2018-05-18,31.9123,32.2991,29.9782,31.8639,2937450,32.9500,0
2018-05-21,31.8639,31.8639,30.4617,30.4617,2405890,31.5000,0
2018-05-22,29.9782,30.3650,28.3342,28.3342,3119620,29.3000,0
2018-05-23,27.8507,29.4946,27.8023,29.4463,1819230,30.4500,0
2018-05-24,29.4947,29.7364,28.4793,28.6727,1089040,29.6500,0
2018-05-25,28.8661,29.1079,26.7870,26.7870,2161610,27.7000,0
2018-05-28,26.2068,26.3035,24.9496,24.9496,3902270,25.8000,35000
2018-05-29,25.6265,26.6903,24.9496,26.6902,2874020,27.6000,0
2018-05-30,27.0770,27.5605,26.4484,26.6902,2144210,27.6000,103720
2018-05-31,26.4001,28.4309,26.4001,28.2859,3412580,29.2500,0
2018-06-01,28.0441,29.6881,27.8507,28.7210,3634920,29.7000,0
2018-06-04,28.0441,29.5913,27.4639,29.4947,4878280,30.5000,72000
2018-06-05,29.3013,30.1716,28.6244,29.3980,3066250,30.4000,0
2018-06-06,29.4464,30.7519,28.8178,30.7518,2532640,31.8000,0
2018-06-07,30.7518,31.1386,30.1716,30.1716,3704890,31.2000,0
2018-06-08,30.1716,30.6551,29.7848,30.4617,2683390,31.5000,0
2018-06-11,30.0749,30.8969,29.9782,29.9782,2320290,31.0000,203000
2018-06-12,29.3013,29.4947,27.8991,28.6243,4314510,29.6000,0
2018-06-13,28.6243,29.0111,28.1891,28.6727,1672030,29.6500,0
2018-06-14,28.7211,28.9145,27.3672,27.3672,3869180,28.3000,20000
2018-06-15,27.0771,28.0441,26.8837,28.0441,2262000,29.0000,100000
2018-06-18,28.0441,28.0925,26.3034,26.4001,2873220,27.3000,0
2018-06-19,25.9166,26.1100,24.5627,25.9166,5460120,26.8000,0
2018-06-20,26.2067,27.0770,25.7715,27.0771,2364060,28.0000,175000
2018-06-21,26.6903,27.0771,25.7232,25.9166,2073850,26.8000,49000
2018-06-22,25.1913,26.7386,25.1913,26.5935,2281830,27.5000,0
2018-06-25,27.1254,27.7056,26.9803,27.2705,1937980,28.2000,0
2018-06-26,26.5936,27.1738,26.4002,26.8837,1283390,27.8000,0
